id,title,severity,category,status,sourceFiles,recommendation,evidenceIds,createdAt
iss-2026-05-18T13-32-00-001,Unilateral Modification Rights,High,other,open,sample-saas-agreement.txt,Request a mutual written amendment requirement.,ev-2026-05-18T13-32-00-001,2026-05-18T13:32:00.147Z
iss-2026-05-18T13-32-00-002,Limited Liability Cap,High,legal,open,sample-saas-agreement.txt,Negotiate a higher cap and carve-outs for willful misconduct.,ev-2026-05-18T13-32-00-002,2026-05-18T13:32:00.147Z
iss-2026-05-18T13-32-00-006,Overdue Payments Detected,High,payment,open,sample-saas-agreement.txt; sample-payment-schedule.csv,Review overdue invoices against contract payment terms and resolve outstanding amounts.,ev-2026-05-18T13-32-00-006,2026-05-18T13:32:00.147Z
iss-2026-05-18T13-32-00-007,Overdue Payments Detected,High,payment,open,sample-saas-agreement.txt; sample-vendor-invoices.csv,Review overdue invoices against contract payment terms and resolve outstanding amounts.,ev-2026-05-18T13-32-00-007,2026-05-18T13:32:00.147Z
iss-2026-05-18T13-32-00-008,Overdue Payment: DataStream Inc ($9100.00),High,payment,open,sample-payment-schedule.csv,Resolve overdue payment of $9100.00 to DataStream Inc. Due: 2024-03-31.,ev-2026-05-18T13-32-00-008,2026-05-18T13:32:00.147Z
iss-2026-05-18T13-32-00-003,Auto-Renewal with Short Notice,Medium,renewal,open,sample-saas-agreement.txt,Calendar the cancellation deadline immediately.,ev-2026-05-18T13-32-00-003,2026-05-18T13:32:00.147Z
iss-2026-05-18T13-32-00-004,Unusual Clause: Unilateral modification rights may allow changes without consent,Low,legal,open,sample-saas-agreement.txt,Review this clause with legal counsel to assess acceptability.,ev-2026-05-18T13-32-00-004,2026-05-18T13:32:00.147Z
iss-2026-05-18T13-32-00-005,Unusual Clause: Review auto-renewal notice window carefully,Low,legal,open,sample-saas-agreement.txt,Review this clause with legal counsel to assess acceptability.,ev-2026-05-18T13-32-00-005,2026-05-18T13:32:00.147Z
iss-2026-05-18T13-32-00-009,Data Quality: High blank cell rate: 40% of cells are empty,Low,data-quality,open,sample-saas-agreement.txt; sample-cap-table.csv; sample-payment-schedule.csv,Review spreadsheet data for completeness and accuracy.,ev-2026-05-18T13-32-00-009,2026-05-18T13:32:00.147Z
iss-2026-05-18T13-32-00-010,Data Quality: 1 row(s) marked as overdue,Low,data-quality,open,sample-saas-agreement.txt; sample-cap-table.csv; sample-payment-schedule.csv,Review spreadsheet data for completeness and accuracy.,ev-2026-05-18T13-32-00-010,2026-05-18T13:32:00.147Z
iss-2026-05-18T13-32-00-011,Spreadsheet Warning: High blank cell rate: 40% of cells are empty,Low,data-quality,open,sample-cap-table.csv,Review spreadsheet for completeness.,ev-2026-05-18T13-32-00-011,2026-05-18T13:32:00.147Z
iss-2026-05-18T13-32-00-012,Spreadsheet Warning: 1 row(s) marked as overdue,Low,data-quality,open,sample-payment-schedule.csv,Review spreadsheet for completeness.,ev-2026-05-18T13-32-00-012,2026-05-18T13:32:00.147Z
