id,title,severity,category,status,sourceFiles,recommendation,evidenceIds,createdAt
iss-2026-07-20T04-03-30-001,Unilateral Modification Rights,High,other,open,sample-contractor-agreement.txt,Request a mutual written amendment requirement.,ev-2026-07-20T04-03-30-001,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-002,Limited Liability Cap,High,legal,open,sample-contractor-agreement.txt,Negotiate a higher cap and carve-outs for willful misconduct.,ev-2026-07-20T04-03-30-002,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-006,Unilateral Modification Rights,High,other,open,sample-saas-agreement.txt,Request a mutual written amendment requirement.,ev-2026-07-20T04-03-30-006,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-007,Limited Liability Cap,High,legal,open,sample-saas-agreement.txt,Negotiate a higher cap and carve-outs for willful misconduct.,ev-2026-07-20T04-03-30-007,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-011,Unilateral Modification Rights,High,other,open,sample-term-sheet.txt,Request a mutual written amendment requirement.,ev-2026-07-20T04-03-30-011,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-012,Limited Liability Cap,High,legal,open,sample-term-sheet.txt,Negotiate a higher cap and carve-outs for willful misconduct.,ev-2026-07-20T04-03-30-012,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-016,Overdue Payments Detected (sample-payment-schedule.csv),High,payment,open,sample-contractor-agreement.txt; sample-payment-schedule.csv,Review overdue invoices against contract payment terms and resolve outstanding amounts.,ev-2026-07-20T04-03-30-016,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-017,Overdue Payments Detected (sample-vendor-invoices.csv),High,payment,open,sample-contractor-agreement.txt; sample-vendor-invoices.csv,Review overdue invoices against contract payment terms and resolve outstanding amounts.,ev-2026-07-20T04-03-30-017,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-018,Overdue Payment: DataStream Inc ($9100.00),High,payment,open,sample-payment-schedule.csv,Resolve overdue payment of $9100.00 to DataStream Inc. Due: 2024-03-31.,ev-2026-07-20T04-03-30-018,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-019,Overdue Payment: DataDog Inc ($6500.00),High,payment,open,sample-vendor-invoices.csv,Resolve overdue payment of $6500.00 to DataDog Inc. Due: 2024-03-05.,ev-2026-07-20T04-03-30-019,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-003,Auto-Renewal with Short Notice,Medium,renewal,open,sample-contractor-agreement.txt,Calendar the cancellation deadline immediately.,ev-2026-07-20T04-03-30-003,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-008,Auto-Renewal with Short Notice,Medium,renewal,open,sample-saas-agreement.txt,Calendar the cancellation deadline immediately.,ev-2026-07-20T04-03-30-008,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-013,Auto-Renewal with Short Notice,Medium,renewal,open,sample-term-sheet.txt,Calendar the cancellation deadline immediately.,ev-2026-07-20T04-03-30-013,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-004,Unusual Clause: Unilateral modification rights may allow changes without consent,Low,legal,open,sample-contractor-agreement.txt,Review this clause with legal counsel to assess acceptability.,ev-2026-07-20T04-03-30-004,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-005,Unusual Clause: Review auto-renewal notice window carefully,Low,legal,open,sample-contractor-agreement.txt,Review this clause with legal counsel to assess acceptability.,ev-2026-07-20T04-03-30-005,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-009,Unusual Clause: Unilateral modification rights may allow changes without consent,Low,legal,open,sample-saas-agreement.txt,Review this clause with legal counsel to assess acceptability.,ev-2026-07-20T04-03-30-009,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-010,Unusual Clause: Review auto-renewal notice window carefully,Low,legal,open,sample-saas-agreement.txt,Review this clause with legal counsel to assess acceptability.,ev-2026-07-20T04-03-30-010,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-014,Unusual Clause: Unilateral modification rights may allow changes without consent,Low,legal,open,sample-term-sheet.txt,Review this clause with legal counsel to assess acceptability.,ev-2026-07-20T04-03-30-014,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-015,Unusual Clause: Review auto-renewal notice window carefully,Low,legal,open,sample-term-sheet.txt,Review this clause with legal counsel to assess acceptability.,ev-2026-07-20T04-03-30-015,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-020,Data Quality: High blank cell rate: 40% of cells are empty,Low,data-quality,open,sample-contractor-agreement.txt; sample-saas-agreement.txt; sample-term-sheet.txt,Review spreadsheet data for completeness and accuracy.,ev-2026-07-20T04-03-30-020,2026-07-20T04:03:30.727Z
iss-2026-07-20T04-03-30-021,Data Quality: 1 row(s) marked as overdue,Low,data-quality,open,sample-contractor-agreement.txt; sample-saas-agreement.txt; sample-term-sheet.txt,Review spreadsheet data for completeness and accuracy.,ev-2026-07-20T04-03-30-021,2026-07-20T04:03:30.727Z
